"Promoter Name"	"Absolute-Plus-1-Position"	"Promoters - genes downstream of promoter"	"Transcription-Direction"	"Promoters - transcription units of promoter"	"Transcription units - pathways"
PM0-45785	3604315	""	+	""	""
PM0-10222	850209	EG12117		TU0-14688	""
PM0-46187	1686654	EG10358		TU0-42482	""
PM0-4102	17317	EG11078 // EG10652		TU0-3862	""
PM0-9365	498031	EG10431		TU0-12951	""
PM0-44676	960143	""	+	""	""
PM00083	1122643	EG10806		TU00060	""
PM0-45040	1764924	""	-	""	""
PM00538	2798556	EG11554		TU00394	""
PM0-45404	2667928	""	-	""	""
PM0-45769	3577085	""	-	""	""
PM0-10194	4478445	G7885		TU0-8617	""
PM0-46159	1563201	G6777 // G6778 // G6779 // G6780 // G6781 // G6782		TU0-42462	""
PM0-3664	1890561	G6990		TU0-3464	""
PM0-9308	403687	EG11257	+	TU0-8872	""
PM0-44660	922750	""	+	""	""
PM00058	703708	EG10634 // EG10636 // EG10632 // EG10633		TU00043	""
PM0-45024	1739855	""	+	""	""
PM00522	953925	EG10701		TU00384	""
PM0-45388	2629672	""	+	""	""
PM0-45753	3526319	""	+	""	""
PM0-10177	4264283	EG10236		TU0-14119	""
PM0-46123	1344510	G6638		TU0-42448	""
PM0-36248	2590970	G0-8888		TU0-14237	""
PM0-9061	4556856	G7923		TU0-8625	""
PM0-44644	862783	""	-	""	""
PM00037	2352583	EG10391 // EG10392 // EG10393		TU00030	""
PM0-45008	1692988	""	-	""	""
PM00505	4483919	EG11067		TU0-6687	""
PM0-45372	2558693	""	+	""	""
PM0-45737	3478985	""	-	""	""
PM0-10156	3931128	EG11731 // EG11730		TU0-14031	""
PM0-46105	4607725	""	-	""	""
PM0-36233	1024438	EG10426		TU0-8809	""
PM0-8891	1802733	EG10440 // EG10710 // EG10709 // EG11272 // EG10881 // EG11231 // EG10506 // EG11001 // EG10506 // EG11001		TU0-14257 // TU00366	""
PM0-44627	838484	EG12421	-	TU0-13053	""
PM00017	29619	EG10134 // EG10135	+	TU00109	""
PM0-44992	1655699	""	-	""	""
PM00488	4128529	EG10588		TU0-2707	""
PM0-45356	2517869	""	-	""	""
PM0-45721	3413601	""	-	""	""
PM0-10135	3380654	EG11652 // G7682		TU0-13898	""
PM0-46089	4571720	""	+	""	""
PM0-36218	1027837	G6498		TU0-13101	""
PM0-8756	197026	EG10238 // EG10861 // EG10546 // EG10545 // EG11284 // EG10316 // EG10455 // G6093		TU0-8373	""
PM0-44612	785496	""	-	""	""
PM00001	4215402	EG10023 // EG10022 // EG10026		TU00001	""
PM0-44976	1624559	EG11644		TU0-41801	""
PM00472	3922270	EG10100 // EG10101 // EG10104 // EG10098 // EG10105 // EG10103 // EG10102 // EG10099		TU0-6635	""
PM0-45340	2462985	""	+	""	""
PM0-45705	3388258	""	-	""	""
PM0-10118	3041282	G7511		TU0-8749	""
PM0-46073	4518379	""	+	""	""
PM0-36185	3908556	EG10735 // EG10783		TU0-36419	""
PM0-8728	4351685	G7826 // G7827		TU0-8347	""
PM0-44596	742670	""	-	""	""
PM0-9984	484685	EG11704	-	TU0-14615	""
PM0-44960	1570577	""	-	""	""
PM00453	3719940	EG10166		TU0-1582	""
PM0-45324	2408835	""	+	""	""
PM929	4196954	EG11738		TU784	""
PM0-45689	3361978	""	+	""	""
PM0-10099	2639370	G7321		TU0-14648	""
PM0-46057	4490085	""	-	""	""
PM0-36136	4605752	G7949		TU0-36402	""
PM0-8624	1946144	EG11136		TU0-8244	""
PM0-44580	679465	""	+	""	""
PM0-9968	268026	G6127		TU0-14610	""
PM0-44944	1532867	""	+	""	""
PM00436	3212637	EG10896		TU00437	""
PM0-45308	2385905	""	-	""	""
PM692	3742674	EG12281 // EG12287 // EG12286 // EG12285 // EG12284 // EG12283 // EG12282 // EG12280 // EG12279		TU592	""
PM0-45673	3307909	""	-	""	""
PM0-10081	2194269	EG10586	+	TU0-13519	""
PM0-46041	4442270	""	+	""	""
PM0-3325	3000257	G7486 // G7487 // G7485		TU0-3145	""
PM0-8528	1526020	G6764		TU0-8148	""
PM0-44564	664001	""	-	""	""
PM0-9889	651952	G6344 // G6343 // G6342 // G6341 // G6340 // G6339		TU0-12999	""
PM0-44928	1502323	""	+	""	""
PM00418	2734205	EG10157		TU00421	""
PM0-45292	2348338	""	+	""	""
PM624	485698	EG11703 // EG11704		TU00233	""
PM0-45657	3287364	""	+	""	""
